id,parent_id/id,code,type,name,reconcile,user_type/id
md_acc_0,,0,View,Planul de Conturi,FALSE,account.data_account_type_view
md_acc_00001,md_acc_0,1,Regular,Fictiv,TRUE,account.data_account_type_view
md_acc_10000,md_acc_0,10000,View,ACTIVE IMOBILIZATE ,TRUE,account.data_account_type_view
md_acc_11000,md_acc_10000,11000,View,IMOBILIZĂRI NECORPORALE,TRUE,account.data_account_type_view
md_acc_11100,md_acc_11000,11100,View,Imobilizări necorporale în curs de execuţie ,TRUE,account.data_account_type_view
md_acc_11200,md_acc_11000,11200,View,Imobilizări necorporale ,TRUE,account.data_account_type_view
md_acc_11210,md_acc_11200,11210,Regular,Drepturi de autor şi titluri de protecţie,TRUE,account.data_account_type_asset
md_acc_11220,md_acc_11200,11220,Regular,Brevete şi mărci,TRUE,account.data_account_type_asset
md_acc_11230,md_acc_11200,11230,Regular,Know-how-uri şi francize,TRUE,account.data_account_type_asset
md_acc_11240,md_acc_11200,11240,Regular,Licenţe de activitate,TRUE,account.data_account_type_asset
md_acc_11250,md_acc_11200,11250,Regular,Programe informatice,TRUE,account.data_account_type_asset
md_acc_11260,md_acc_11200,11260,Regular,Desene şi modele industriale,TRUE,account.data_account_type_asset
md_acc_11270,md_acc_11200,11270,Regular,Drepturi de utilizare a activelor imobilizate,TRUE,account.data_account_type_asset
md_acc_11280,md_acc_11200,11280,Regular,Imobilizări necorporale primite în gestiune economică,TRUE,account.data_account_type_asset
md_acc_11290,md_acc_11200,11290,Regular,Alte imobilizări necorporale,TRUE,account.data_account_type_asset
md_acc_11300,md_acc_11000,11300,View,Amortizarea imobilizărilor necorporale,TRUE,account.data_account_type_asset
md_acc_11310,md_acc_11300,11310,Regular,Amortizarea drepturilor de autor şi titlurilor de protecţie,TRUE,account.data_account_type_asset
md_acc_11320,md_acc_11300,11320,Regular,Amortizarea brevetelor şi mărcilor,TRUE,account.data_account_type_asset
md_acc_11330,md_acc_11300,11330,Regular,Amortizarea know-how-urilor şi francizelor,TRUE,account.data_account_type_asset
md_acc_11340,md_acc_11300,11340,Regular,Amortizarea licenţelor de activitate,TRUE,account.data_account_type_asset
md_acc_11350,md_acc_11300,11350,Regular,Amortizarea programelor informatice,TRUE,account.data_account_type_asset
md_acc_11360,md_acc_11300,11360,Regular,Amortizarea desenelor şi modelelor industriale,TRUE,account.data_account_type_asset
md_acc_11370,md_acc_11300,11370,Regular,Amortizarea drepturilor de utilizare a activelor imobilizate,TRUE,account.data_account_type_asset
md_acc_11380,md_acc_11300,11380,Regular,Amortizarea imobilizărilor necorporale primite în gestiune economică,TRUE,account.data_account_type_asset
md_acc_11390,md_acc_11300,11390,Regular,Amortizarea altor imobilizări necorporale,TRUE,account.data_account_type_asset
md_acc_11400,md_acc_11000,11400,View,Deprecierea imobilizărilor necorporale,TRUE,account.data_account_type_asset
md_acc_12000,md_acc_10000,12000,View,IMOBILIZĂRI CORPORALE ,TRUE,account.data_account_type_view
md_acc_12100,md_acc_12000,12100,View,Imobilizări corporale în curs de execuţie,TRUE,account.data_account_type_view
md_acc_12110,md_acc_12100,12110,Regular,Construcţii în curs de execuţie,TRUE,account.data_account_type_asset
md_acc_12120,md_acc_12100,12120,Regular,Utilaj destinat instalării,TRUE,account.data_account_type_asset
md_acc_12130,md_acc_12100,12130,Regular,Imobilizări corporale pînă la punerea în utilizare,TRUE,account.data_account_type_asset
md_acc_12140,md_acc_12100,12140,Regular,Costuri ulterioare în curs de execuţie,TRUE,account.data_account_type_asset
md_acc_12200,md_acc_12000,12200,View,Terenuri,TRUE,account.data_account_type_view
md_acc_12210,md_acc_12200,12210,Regular,Terenuri în curs de pregătire pentru utilizare prestabilită,TRUE,account.data_account_type_asset
md_acc_12220,md_acc_12200,12220,Regular,Terenuri fără construcţii,TRUE,account.data_account_type_asset
md_acc_12230,md_acc_12200,12230,Regular,Terenuri cu construcţii,TRUE,account.data_account_type_asset
md_acc_12240,md_acc_12200,12240,Regular,Terenuri cu zăcăminte,TRUE,account.data_account_type_asset
md_acc_12250,md_acc_12200,12250,Regular,Terenuri cu plantaţii perene,TRUE,account.data_account_type_asset
md_acc_12260,md_acc_12200,12260,Regular,Terenuri primite în gestiune economică,TRUE,account.data_account_type_asset
md_acc_12270,md_acc_12200,12270,Regular,Alte terenuri,TRUE,account.data_account_type_asset
md_acc_12300,md_acc_12000,12300,View,Mijloace fixe,TRUE,account.data_account_type_view
md_acc_12310,md_acc_12300,12310,Regular,Clădiri,TRUE,account.data_account_type_asset
md_acc_12320,md_acc_12300,12320,Regular,Construcţii speciale,TRUE,account.data_account_type_asset
md_acc_12330,md_acc_12300,12330,Regular,Maşini utilaje şi instalaţii de transmisie ,TRUE,account.data_account_type_asset
md_acc_12340,md_acc_12300,12340,Regular,Mijloace de transport,TRUE,account.data_account_type_asset
md_acc_12350,md_acc_12300,12350,Regular,Instrumente şi inventar,TRUE,account.data_account_type_asset
md_acc_12360,md_acc_12300,12360,Regular,Costuri ulterioare aferente obiectelor neînregistrate în bilanţ ,TRUE,account.data_account_type_asset
md_acc_12370,md_acc_12300,12370,Regular,Mijloace fixe primite în leasing financiar,TRUE,account.data_account_type_asset
md_acc_12380,md_acc_12300,12380,Regular,Mijloace fixe primite în gestiune economică,TRUE,account.data_account_type_asset
md_acc_12390,md_acc_12300,12390,Regular,Alte mijloace fixe,TRUE,account.data_account_type_asset
md_acc_12400,md_acc_12000,12400,View,Amortizarea mijloacelor fixe,TRUE,account.data_account_type_view
md_acc_12410,md_acc_12400,12410,Regular,Amortizarea clădirilor,TRUE,account.data_account_type_asset
md_acc_12420,md_acc_12400,12420,Regular,Amortizarea construcţiilor speciale,TRUE,account.data_account_type_asset
md_acc_12430,md_acc_12400,12430,Regular,Amortizarea maşinilor utilajelor şi instalaţiilor de transmisie ,TRUE,account.data_account_type_asset
md_acc_12440,md_acc_12400,12440,Regular,Amortizarea mijloacelor de transport,TRUE,account.data_account_type_asset
md_acc_12450,md_acc_12400,12450,Regular,Amortizarea instrumentelor şi inventarului,TRUE,account.data_account_type_asset
md_acc_12460,md_acc_12400,12460,Regular,Amortizarea costurilor ulterioare aferente obiectelor neînregistrate în bilanţ ,TRUE,account.data_account_type_asset
md_acc_12470,md_acc_12400,12470,Regular,Amortizarea mijloacelor fixe primite în leasing financiar,TRUE,account.data_account_type_asset
md_acc_12480,md_acc_12400,12480,Regular,Amortizarea mijloacelor fixe primite în gestiune economică,TRUE,account.data_account_type_asset
md_acc_12490,md_acc_12400,12490,Regular,Amortizarea altor mijloace fixe,TRUE,account.data_account_type_asset
md_acc_12500,md_acc_12000,12500,Regular,Resurse minerale,TRUE,account.data_account_type_asset
md_acc_12600,md_acc_12000,12600,Regular,Amortizarea şi deprecierea resurselor minerale,TRUE,account.data_account_type_asset
md_acc_12700,md_acc_12000,12700,Regular,Deprecierea imobilizărilor corporale în curs de execuţie,TRUE,account.data_account_type_asset
md_acc_12800,md_acc_12000,12800,Regular,Deprecierea terenurilor,TRUE,account.data_account_type_asset
md_acc_12900,md_acc_12000,12900,Regular,Deprecierea mijloacelor fixe,TRUE,account.data_account_type_asset
md_acc_13000,md_acc_10000,13000,View,ACTIVE BIOLOGICE IMOBILIZATE,TRUE,account.data_account_type_view
md_acc_13100,md_acc_13000,13100,Regular,Active biologice imobilizate în curs de execuţie,TRUE,account.data_account_type_asset
md_acc_13200,md_acc_13000,13200,Regular,Active biologice imobilizate ,TRUE,account.data_account_type_asset
md_acc_13300,md_acc_13000,13300,Regular,Amortizarea şi deprecierea activelor biologice imobilizate,TRUE,account.data_account_type_asset
md_acc_13310,md_acc_13300,13310,Regular,Amortizarea activelor biologice imobilizate,TRUE,account.data_account_type_asset
md_acc_13320,md_acc_13300,13320,Regular,Deprecierea activelor biologice imobilizate,TRUE,account.data_account_type_asset
md_acc_14000,md_acc_10000,14000,View,INVESTIŢII FINANCIARE PE TERMEN LUNG ,TRUE,account.data_account_type_view
md_acc_14100,md_acc_14000,14100,View,Investiţii financiare pe termen lung în părţi neafiliate,TRUE,account.data_account_type_view
md_acc_14110,md_acc_14100,14110,Regular,Valori mobiliare,TRUE,account.data_account_type_asset
md_acc_14120,md_acc_14100,14120,Regular,Cote de participaţie,TRUE,account.data_account_type_asset
md_acc_14130,md_acc_14100,14130,Regular,Depozite,TRUE,account.data_account_type_asset
md_acc_14140,md_acc_14100,14140,Regular,Împrumuturi acordate ,TRUE,account.data_account_type_asset
md_acc_14150,md_acc_14100,14150,Regular,Alte investiţii financiare,TRUE,account.data_account_type_asset
md_acc_14200,md_acc_14000,14200,View,Investiţii financiare pe termen lung în părţi afiliate,TRUE,account.data_account_type_view
md_acc_14210,md_acc_14200,14210,Regular,Valori mobiliare ,TRUE,account.data_account_type_asset
md_acc_14220,md_acc_14200,14220,Regular,Cote de participaţie,TRUE,account.data_account_type_asset
md_acc_14230,md_acc_14200,14230,Regular,Depozite,TRUE,account.data_account_type_asset
md_acc_14240,md_acc_14200,14240,Regular,Împrumuturi acordate,TRUE,account.data_account_type_asset
md_acc_14250,md_acc_14200,14250,Regular,Alte investiţii financiare,TRUE,account.data_account_type_asset
md_acc_15000,md_acc_10000,15000,View,INVESTIŢII IMOBILIARE,TRUE,account.data_account_type_view
md_acc_15100,md_acc_15000,15100,Regular,Investiţii imobiliare,TRUE,account.data_account_type_asset
md_acc_15200,md_acc_15000,15200,View,Amortizarea şi deprecierea investiţiilor imobiliare,TRUE,account.data_account_type_view
md_acc_15210,md_acc_15200,15210,Regular,Amortizarea investiţiilor imobiliare,TRUE,account.data_account_type_asset
md_acc_15220,md_acc_15200,15220,Regular,Deprecierea investiţiilor imobiliare,TRUE,account.data_account_type_asset
md_acc_16000,md_acc_10000,16000,View,CREANŢE ŞI AVANSURI ACORDATE PE TERMEN LUNG ,TRUE,account.data_account_type_view
md_acc_16100,md_acc_16000,16100,View,Creanţe pe termen lung ,TRUE,account.data_account_type_asset
md_acc_16110,md_acc_16100,16110,Regular,Creanţe comerciale pe termen lung,TRUE,account.data_account_type_asset
md_acc_16120,md_acc_16100,16120,Regular,Creanţe pe termen lung privind leasingul,TRUE,account.data_account_type_asset
md_acc_16130,md_acc_16100,16130,Regular,Alte creanţe pe termen lung,TRUE,account.data_account_type_asset
md_acc_16200,md_acc_16000,16200,View,Avansuri acordate pe termen lung,TRUE,account.data_account_type_view
md_acc_16210,md_acc_16200,16210,Regular,Avansuri acordate în ţară,TRUE,account.data_account_type_asset
md_acc_16220,md_acc_16200,16220,Regular,Avansuri acordate în străinătate,TRUE,account.data_account_type_asset
md_acc_17000,md_acc_10000,17000,View,ALTE ACTIVE IMOBILIZATE,TRUE,account.data_account_type_view
md_acc_17100,md_acc_17000,17100,Regular,Cheltuieli anticipate pe termen lung,TRUE,account.data_account_type_asset
md_acc_17200,md_acc_17000,17200,Regular,Alte active imobilizate,TRUE,account.data_account_type_asset
md_acc_20000,md_acc_0,20000,View,ACTIVE CIRCULANTE,TRUE,account.data_account_type_view
md_acc_21000,md_acc_20000,21000,View,STOCURI ,TRUE,account.data_account_type_view
